! .
' '
'' ''
( (
) )
, ,
-- --
. .
. .-HL
10 CD-HL
138 NP
25 CD-HL
4 CD-HL
5 CD-HL
573 CD
99.1 CD
: :
; .
? .
A AT
A AT-TL
A NP-TL
AB NP-TL
ABC NP-TL
AD NP-TL
Above IN
Absent-minded JJ
According IN
Acquiring VBG
Actually RB
Africa NP
After IN
Afterwards RB
Again RB
Age NN-TL
Aj NP-TL
All ABN
All QL
Almost QL
Almost RB
Altairians NPS
Although CS
Alvarez NP
Always RB
America NP
America NP-TL
American JJ
American NP
And CC
Angel NN-TL
Angel's NN$-TL
Angels NNS-TL
Animals NNS
Anne NP
Another DT
Antarctica NP
Antares NP
Any DTI
Anyhow RB
Apocalyptic JJ-TL
Archangel NN-TL
Ardent NP
Are BER
Ariadne NP
Arizona NP
Arts NNS-TL
As CS
As QL
Asia NP-TL
Asked VBD
Asked VBN
Asleep RB
Assembly NN-TL
At IN
Australia NP
B'dikkat NP
B'dikkat's NP$
BCD NP-TL
Balanced VBN
Base NN-TL
Bay NN-TL
Bazaar NN-TL
Before IN
Behind IN
Being BEG
Ben NP
Besides RB
Between IN
Beverly NP-TL
Bishop NN-TL
Bloch NP
Booker NP
Boone NP
Boss NN-TL
Brain NN
Breath NN
But CC
By IN
CB NP-TL
CD NP-TL
California NP
Candide NP
Capellan JJ
Captain NN-TL
Caribbean NP-TL
Central JJ-TL
Ceylon NP
Check VB
China NP
China NP-TL
Christian JJ-TL
Church's NN$-TL
City NN-TL
Class NN-TL
Coal NN-TL
Come VB
Coming NN-TL
Consequently RB
Consider VB
D NP-TL
Da NP
Daily JJ-TL
Dark JJ-TL
Dawn NP
Day NN-TL
Did DOD
Digby NP
Digby's NP$
Dissect VB
Do DO
Don't DO*
Douglas NP
Each DT
Earth NN-TL
Earth-week NN
Earth-weeks NNS
Earthmen NPS
Earthmen's NPS$
Easy RB
Eileen NP
Ekstrohm NP
Ekstrohm's NP$
Elvis NP
England NP
English JJ
English NP
Eternity NN
Europe NP
Even RB
Everest NP-TL
ExPe NP
Exploration NN-TL
Far RB
Farrell NP
Federation NN-TL
Figaro NP-TL
Fighting VBG
Finally RB
Fine JJ-TL
Fine RB
First OD-TL
First RB
First-Born NP
Food NN-TL
For CS
For IN
Forerunner NN-TL
Forgive VB
Formerly RB
Fortunately RB
Foster NP
Foster NP-TL
Fosterite JJ
Fosterites NPS
French-Canadians NPS
From IN
Fuming VBG
Furthermore RB
Gabriel NP
Gabriel's NP$
Galaxy NN-TL
Geraldine NP
Get VB
God NP
Gone VBN
Good JJ
Gradually RB
Grandmothers' NNS$-TL
Greatness NN-TL
Greenland NP
Guardian NN-TL
Had HVD
Haijac NP-TL
Hal NP
Hal's NP$
Happy JJ
Hart NP
Having HVG
Hawaiian-Americans NPS
He PPS
Heaven NN-TL
Heavenly JJ
Hebrew NP
Hell UH
Hello UH
Helva NP
Helva's NP$
Her PP$
Here RB
Hesperus NP
Hesperus' NP$
Hey UH
Hi UH
Hills NNS-TL
His PP$
Holies NNS-TL
Holy NN-TL
How WRB
However WRB
Hoy FW-NR-TL
Hudson NP-TL
Huey NP
I PPSS
I'll PPSS+MD
I'm PPSS+BEM
