Thirty-three CD-HL
Scotty NP
did DOD
not *
go VB
back RB
to IN
school NN
. .
His PP$
parents NNS
talked VBD
seriously RB
and CC
lengthily RB
to IN
their PP$
own JJ
doctor NN
and CC
to IN
a AT
specialist NN
at IN
the AT
University NN-TL
Hospital NN-TL
-- --
Mr. NP
McKinley NP
was BEDZ
entitled VBN
to IN
a AT
discount NN
for IN
members NNS
of IN
his PP$
family NN
-- --
and CC
it PPS
was BEDZ
decided VBN
it PPS
would MD
be BE
best JJT
for CS
him PPO
to TO
take VB
the AT
remainder NN
of IN
the AT
term NN
off RP
, ,
spend VB
a AT
lot NN
of IN
time NN
in IN
bed NN
and CC
, ,
for IN
the AT
rest NN
, ,
do DO
pretty QL
much RB
as CS
he PPS
chose VBD
-- --
provided VBN
, ,
of IN
course NN
, ,
he PPS
chose VBD
to TO
do DO
nothing PN
too QL
exciting JJ
or CC
too QL
debilitating JJ
. .
His PP$
teacher NN
and CC
his PP$
school NN
principal NN
were BED
conferred VBN
with IN
and CC
everyone PN
agreed VBD
that CS
, ,
if CS
he PPS
kept VBD
up RP
with IN
a AT
certain AP
amount NN
of IN
work NN
at IN
home NN
, ,
there EX
was BEDZ
little AP
danger NN
of IN
his PP$
losing VBG
a AT
term NN
. .
Scotty NP
accepted VBD
the AT
decision NN
with IN
indifference NN
and CC
did DOD
not *
enter VB
the AT
arguments NNS
. .
He PPS
was BEDZ
discharged VBN
from IN
the AT
hospital NN
after IN
a AT
two-day JJ
checkup NN
and CC
he PPS
and CC
his PP$
parents NNS
had HVD
what WDT
Mr. NP
McKinley NP
described VBD
as CS
a AT
`` ``
celebration NN
lunch NN
'' ''
at IN
the AT
cafeteria NN
on IN
the AT
campus NN
. .
Rachel NP
wore VBD
a AT
smart JJ
hat NN
and CC
, ,
because CS
she PPS
had HVD
been BEN
warned VBN
recently RB
about IN
smoking VBG
, ,
puffed VBD
at IN
her PP$
cigarettes NNS
through IN
a AT
long JJ
ivory JJ
holder NN
stained VBN
with IN
lipstick NN
. .
Scotty's NP$
father NN
sat VBD
sprawled VBN
in IN
his PP$
chair NN
, ,
angular JJ
, ,
alert JJ
as CS
a AT
cricket NN
, ,
looking VBG
about RB
at IN
the AT
huge JJ
stainless-steel NN
appointments NNS
of IN
the AT
room NN
with IN
an AT
expression NN
of IN
proprietorship NN
. .
Teachers NNS
-- --
men NNS
who WPS
wore VBD
brown JJ
suits NNS
and CC
had HVD
gray JJ
hair NN
and CC
pleasant JJ
smiles NNS
-- --
came VBD
to IN
their PP$
table NN
to TO
talk VB
shop NN
and CC
to TO
be BE
introduced VBN
to IN
Scotty NP
and CC
Rachel NP
. .
Rachel NP
was BEDZ
polite JJ
, ,
Scotty NP
indifferent JJ
. .
They PPSS
ate VBD
the AT
cafeteria NN
food NN
with IN
its PP$
orange JJ
sauces NNS
and CC
Scotty NP
gazed VBD
without IN
interest NN
at IN
his PP$
food NN
, ,
the AT
teachers NNS
, ,
the AT
heroic JJ
baronial JJ
windows NNS
, ,
and CC
the AT
bright JJ
ranks NNS
of IN
college NN
banners NNS
. .
His PP$
father NN
tried VBD
to TO
make VB
the AT
food NN
a AT
topic NN
. .
`` ``
The AT
blueberry NN
pie NN
is BEZ
good JJ
, ,
Scotty NP
. .
I PPSS
recommend VB
it PPO
'' ''
. .
He PPS
looked VBD
at IN
his PP$
son NN
, ,
his PP$
face NN
worried VBN
. .
Scotty NP
murmured VBD
, ,
`` ``
No RB
, ,
thanks NNS
'' ''
, ,
so QL
softly RB
his PP$
father NN
had HVD
to TO
bend VB
his PP$
gaunt JJ
height NN
across IN
the AT
table NN
